apartment_id	property_name	provider	projection_verdict	winning_tier	floor_plan_count	positive_available_units	publish_ceiling	conventional_links	seed_plan_links	seed_vus_links	prior_hb_audited	opportunity_class	website
243379	Brookwood	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	6	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://bjbtally.com/brookwood-apartments/
244274	Cornerstone	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_PLAN_LEVEL	6	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	http://www.cornerstoneaptsharlingen.com/
244533	Lynn Hill	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	3	1	EXTRACTION_MISS	0	0	0	false	entrata_positive_availability_no_route	https://www.marylandmanagement.com/linthicum/lynn-hill-apartments
245398	Bellevue Towers	generic_plan_text	SUCCESS	TIER_3_DOM	13	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.sspropertiesinvestment.com/vacancies/
246614	French Mill I	entrata	SUCCESS_PLAN_LEVEL	TIER_1_API_ENTRATA_SHAPE_REJECTED_PLAN_LEVEL	28	0	NEEDS_RENDER	0	0	0	false	entrata_no_published_route	http://www.frenchmill.com
251190	The Carlaw	unknown	SUCCESS_PLAN_LEVEL	TIER_1_API	5	0	CONFIRMED_NO_DATA	0	0	0	false	confirmed_no_data	https://liveatthecarlaw.com/
252560	The Boardwalk Luxury	apts247	SUCCESS	TIER_1_API	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.boardwalklux.com/
253035	The Court Yard	entrata	SUCCESS_PLAN_LEVEL	TIER_1_DOM_ENTRATA_PP_SSR_PLAN_LEVEL	7	0	NEEDS_RENDER	1	7	0	true	entrata_hb_audited_no_win	http://www.thecourtyardsalem.com/
253126	Conklin Townhomes	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://conklintowns.com/
253140	National Rose Co	rentcafe	SUCCESS_PLAN_LEVEL	TIER_1_API_RENTCAFE_NO_RESPONSE_PLAN_LEVEL	29	0	UNCERTAIN	0	0	0	false	rentcafe_residual_after_direct_sweep	https://www.nationalroseco.com/
253393	The Lindley	entrata	SUCCESS_PLAN_LEVEL	TIER_1_API_ENTRATA_SHAPE_REJECTED_PLAN_LEVEL	21	0	EXTRACTION_MISS	0	0	0	false	entrata_no_published_route	https://www.livethelindley.com/
253788	Legacy Cool Springs	<blank>	SUCCESS	TIER_1_RENTCAFE_SECURECAFE_DIRECT	0	0	<none>	0	0	0	false	known_false_positive_do_not_count	https://www.goldbergcompanies.com/legacy-cool-springs-franklin-tn/
254168	X at Sloans	entrata	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	3	0	EXTRACTION_MISS	0	0	0	true	entrata_hb_audited_no_win	http://www.xatsloans.com/
256584	The Station at Millrace	funnel	SUCCESS_PLAN_LEVEL	TIER_1_API_FUNNEL_SHAPE_REJECTED_PLAN_LEVEL	3	0	UNCERTAIN	0	0	0	false	uncertain_residual	https://thestationatmillrace.com/
257324	Rosewood Commons	rentcafe	FAILED_NO_DATA	TIER_1_API_RENTCAFE_SHAPE_REJECTED	0	0	EXTRACTION_MISS	0	0	0	false	rentcafe_residual_after_direct_sweep	https://rosewoodcommonsapartments.com/
258497	Casa Blanca I	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.grandviewmanagementaz.com/casa-blanca-coolidge-az/
259386	Fairmount	generic_plan_text	FAILED_NO_DATA	TIER_1_API	0	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.fairmount-towers.com/
261342	Elevate at 604 West	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	2	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.pedcorhomes.com/Apartments/Home/460
261781	One University Drive South	unknown	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	3	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://oneuds.com/
264935	REVA	encoreskyline_template	SUCCESS_PLAN_LEVEL	TIER_2_JSONLD	8	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://revaftmyers.com/
266934	Liberty Grand	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	10	0	NEEDS_RENDER	0	0	0	false	render_endpoint_discovery	https://www.libertygrandapts.com/
266940	Riverfront Lofts I	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT	21	0	NEEDS_RENDER	0	0	0	false	render_endpoint_discovery	https://riverfrontloftsallentown.com/
267147	Flats at Dublin Commons	rentcafe	SUCCESS_PLAN_LEVEL	TIER_3_DOM_GENERIC	4	0	UNCERTAIN	0	0	0	false	rentcafe_residual_after_direct_sweep	https://www.crldublinflats.com/
267933	78 West	appfolio	SUCCESS_PLAN_LEVEL	TIER_3_PLAN_TEXT	3	0	EXTRACTION_MISS	0	0	0	false	appfolio_residual_non_low_zip	https://www.78westca.com/
269659	Avery Creek	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	6	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://communities.ah4r.com/communities/avery-creek
269664	The Pinnacle at Stone Creek Falls	entrata	FAILED_NO_DATA	TIER_1_API_ENTRATA_NO_RESPONSE	0	0	NEEDS_RENDER	0	0	0	false	entrata_no_published_route	https://www.stonecreekfalls.com/apartments/mo/brookline/the-pinnacle#/
269721	Skyview Lofts	appfolio	SUCCESS_PLAN_LEVEL	TIER_1_API_APPFOLIO_EMPTY_PLAN_LEVEL	2	0	NEEDS_RENDER	0	0	0	false	appfolio_residual_non_low_zip	https://skyview-lofts.com/
270484	The Casco	rentcafe	SUCCESS_PLAN_LEVEL	TIER_1_API_RENTCAFE_SHAPE_REJECTED	6	0	UNCERTAIN	0	0	0	false	rentcafe_residual_after_direct_sweep	https://liveredfern.com/buildings/aucocisco/
270768	The Centaur	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	51	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://livecentaur.com/
271066	KC Lofts	generic_plan_text	SUCCESS_PLAN_LEVEL	TIER_1_DOM_GENERIC_PLAN_TEXT_PLAN_LEVEL	4	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://kcloftsrc.com/
272063	Westridge	realpage_cws	FAILED_NO_DATA	TIER_1_API_REALPAGE_OLL	0	0	NEEDS_RENDER	0	0	0	false	render_endpoint_discovery	https://www.westridgeaptstarga.com/
274954	Hurston	spherexx	SUCCESS_PLAN_LEVEL	TIER_1_API_SPHEREXX_NO_RESPONSE_PLAN_LEVEL	6	0	EXTRACTION_MISS	0	0	0	false	deterministic_detail_discovery	https://www.hurstonjacksonville.com/
