property_id,property_name,website,source_adapter_0731,current_detected_adapter,exact_entrata_anchor,securecafe_base_count,rp_oracle_native_unit_rows,rp_oracle_distinct_floorplans,disposition
15014,Wildwood Park,http://www.rentdittmar.com/apartment-communities/wildwood-park,entrata,generic_plan_text,,0,25,7,direct_or_archived_lane_exhausted_no_strict_win
282696,Allen Ranch Estates,https://www.ishranchestates.com/allen-ranch,wix_nopms,wix_nopms,,0,1,1,direct_or_archived_lane_exhausted_no_strict_win
33993,City Club Apartments MDA,https://www.cityclubapartments.com/,generic,unknown,,0,0,0,residual_unconverted
74523,Charter Club,http://www.charterclubapts.com/,generic,unknown,,0,0,0,residual_unconverted
218177,Mill & Main,www.millandmain.com,funnel,funnel,,0,0,0,residual_unconverted
263732,Hoyt Tower,https://www.hoyttowernewark.com/,wix_nopms,wix_nopms,,0,2,2,direct_or_archived_lane_exhausted_no_strict_win
38737,,http://www.rentatstonegateapartments.com/,,entrata,https://www.rentatstonegateapartments.com/lakewood/stonegate-apartments/conventional/,0,3,2,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
272772,Hawkeye Village,http://hawkeyevillageapartments.com/,generic,unknown,,0,5,5,residual_unconverted
42576,Fenway Triangle,https://fenwaytriangle.com/,rentcafe,rentcafe,,1,31,20,securecafe_exact_base_direct_blocked_or_pending_hb
60141,Bridgeview,http://www.scullycompany.com/bridgeview-14.html,sightmap,sightmap,,0,0,0,residual_unconverted
240111,ReNew Logan Square,https://www.renewlogansquare.com/,entrata,entrata,https://www.renewlogansquare.com/philadelphia/renew-logan-square/conventional/,0,15,5,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
282381,Mission Ranch,https://www.missionmanagementlindale.com/,appfolio,appfolio,,0,10,4,direct_or_archived_lane_exhausted_no_strict_win
8789,,https://livebh.com/apartments/flintridge-apartment-homes/?utm_source=vanity&utm_medium=redirect&utm_campaign=flintridge-apartment-homes&original_referrer=flintridgeapartments.com,,funnel,,0,5,5,residual_unconverted
22986,Tuscany Hills,http://www.tuscanyhillsapartments.com/,entrata,entrata,https://www.tuscanyhillsapartments.com/san-marcos/tuscany-hills-apartments/conventional/,0,18,8,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
17186,The Park at Tivoli,https://www.theparkattivoli.com/,rentcafe,rentcafe,,0,0,0,residual_unconverted
55709,Vista Pointe Apartments,https://ridgepointeblueridgeapts.com/en/,generic,generic_plan_text,,0,8,8,direct_or_archived_lane_exhausted_no_strict_win
26733,Parc 85,https://www.parc85.com/,entrata,entrata,https://www.parc85.com/duluth/parc-85/conventional/,0,12,5,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
42977,Elms at Stoney Run,https://stoneyrunelmsliving.com/home#,realpage_oll,unknown,,0,22,7,residual_unconverted
72766,Fox Ridge,https://www.liveatfoxridge.com/?utm_source=GBP&utm_medium=organic&utm_knock=gbp,repli360,repli360,,0,17,9,residual_unconverted
68956,266 Lofts,https://www.266lofts.com/,g5,g5,,0,0,0,residual_unconverted
251120,The Foundry,https://www.thefoundry-tbd.com/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
252891,,https://www.livebellrock.com/apartments/tx/katy/bellrock-market-station/,,encoreskyline_template,,0,0,0,residual_unconverted
70993,Modera Mosaic,https://www.moderamosaic.com/,entrata,entrata,,0,17,12,residual_unconverted
46576,,https://www.proresidential.com/oklahoma-properties/campus-pointe-,,appfolio,,0,22,4,direct_or_archived_lane_exhausted_no_strict_win
40398,Canyon Springs,https://www.canyonspringsfresno.com/,entrata,entrata,,0,3,3,residual_unconverted
270672,Pointe Grand Warner Robins,https://www.pointegrandwarnerrobins.com/,funnel,funnel,,0,15,1,residual_unconverted
47909,Westerville Park Apartment Homes,https://www.capcityapartments.com/westerville-park,wix_floor_plans,wix_nopms,,0,3,3,direct_or_archived_lane_exhausted_no_strict_win
240595,Stockbridge Trails,https://www.stockbridgetrailsapartments.com/,rentcafe,rentcafe,,1,4,3,securecafe_exact_base_direct_blocked_or_pending_hb
251514,LC SoBro I,https://lifestylecommunities.com/community/lc-sobro,entrata,appfolio,,0,28,13,direct_or_archived_lane_exhausted_no_strict_win
32097,Clemmons Trace Village,http://www.clemmonstracevillage.com/,resman,resman,,0,0,0,residual_unconverted
220907,Reserve At Bradbury Place,https://www.keystonemanagement.com/apartments/nc/reserve-at-bradbury-place,rentcafe,rentcafe,,0,21,6,residual_unconverted
227354,,https://www.sandstoneapartmenthomes.com/,,entrata,https://www.sandstoneapartmenthomes.com/waco/sandstone/conventional/,0,21,8,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
46257,Advenir at Mayfield,https://www.adveniratmayfield.com/,entrata,entrata,,0,12,4,residual_unconverted
219752,Lamphouse,https://lamphouseapts.com/,generic,rentcafe,,0,11,10,residual_unconverted
36158,Allen Meadows,https://allenmeadows.prospectportal.com/,entrata,entrata,https://allenmeadows.prospectportal.com/syracuse/allen-meadows-apartments/conventional/,0,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
58390,,https://live30lancaster.com/,,rentcafe,,0,14,7,residual_unconverted
241538,Block 88,http://www.block88apts.com/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
56903,The Landmark,https://www.fxmessina.com/the-landmark?rq=The%20Landmark,squarespace_nopms,squarespace_nopms,,0,5,5,residual_unconverted
74872,Heather Ridge,http://heatherridgeapts.net/,entrata,entrata,,0,23,2,residual_unconverted
19877,Advenir at Magnolia,http://www.adveniratmagnolia.com/,entrata,entrata,,0,12,6,residual_unconverted
239094,Zander Place,http://www.zanderplace.com/,rentcafe,rentcafe,,1,7,6,securecafe_exact_base_direct_blocked_or_pending_hb
48092,Edgewater Village,https://www.edgewatervillageapts.com/,entrata,entrata,,0,0,0,residual_unconverted
11089,Village Green of Bear Creek,http://www.villagegreenofbearcreekapts.com/home/,resman,resman,,0,10,10,residual_unconverted
44955,,https://www.kjaxproperty.com/fulton-woods,,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
37071,Summerwood on Towne Line,www.summerwoodindy.com,generic,unknown,,0,15,6,residual_unconverted
60303,,http://ironworksindy.com/,,rentcafe,,0,0,0,residual_unconverted
52854,Parkside,https://parksideaptsliving.com/,rentmanager,rentmanager,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
28174,Pinewoods Circle,http://www.pinewoodsvillage.com/,rentcafe,rentcafe,,1,5,2,securecafe_exact_base_direct_blocked_or_pending_hb
262964,The Bellagio,https://www.bellagio1384.com/,wix_floor_plans,wix_nopms,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
40309,1750 on First,https://www.1750-onfirstapartments.com/,onsite_apply,rentcafe,,0,1,1,residual_unconverted
63558,Pearl Dadeland,http://pearldadeland.com/,entrata,entrata,,0,40,15,residual_unconverted
267117,Azure Carnes Crossroads,https://www.azurecarnescrossroads.com/,onesite,onesite,,0,0,0,residual_unconverted
57195,Tribeca,https://tribecacolumbus.com/,squarespace_nopms,squarespace_nopms,,0,25,15,residual_unconverted
39198,Vista De Palmas Apartments,http://www.vistadepalmasapartments.com/,generic,unknown,,0,7,4,residual_unconverted
72391,Lumina,https://liveatlumina.com/,entrata,entrata,,0,0,0,residual_unconverted
238508,Centennial,https://www.liveatcentennialapartments.com/,rentcafe,rentcafe,,0,0,0,residual_unconverted
298586,Gateway Lofts Lexington,https://gatewayloftslexington.com/,entrata,entrata,,0,0,0,residual_unconverted
52949,Woodlands at Nashua,https://www.livewoodlandsatnashua.com/,entrata,entrata,https://www.livewoodlandsatnashua.com/nashua/woodlands-at-nashua/conventional/,0,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
594,Harbinwood,www.harbinwoodbyelon.com,rentcafe,rentcafe,,1,4,4,securecafe_exact_base_direct_blocked_or_pending_hb
1617,,https://www.crossingatriverlake.com,,unknown,,0,6,3,residual_unconverted
22658,Country Ridge Townhomes,https://www.countryridge.com,rentcafe,rentcafe,,1,2,2,securecafe_exact_base_direct_blocked_or_pending_hb
258789,Luxe 88,https://luxe88apts.com/,encoreskyline_template,encoreskyline_template,,0,13,12,residual_unconverted
261580,,https://www.1515parkplace.com/,,generic_plan_text,,0,8,4,direct_or_archived_lane_exhausted_no_strict_win
54936,Brentwood Square,https://brentwoodsquareapts.prospectportal.com/,entrata,entrata,,0,6,5,residual_unconverted
47845,Casa De Caro,https://www.equilibriumprops.com/casa-de-caro-apartments,appfolio,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
225914,Fox Glen,www.foxglen-apts.com,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
38677,Tor View Village,www.torviewvillageapts.com,onesite,onesite,,0,5,4,residual_unconverted
231543,Autumn Hills,https://bestrentnj.com/Communities/Autumn-Hills/,rentcafe,rentcafe,,1,0,0,securecafe_exact_base_direct_blocked_or_pending_hb
246351,Chatsworth Village Townhomes,https://www.glendalecommunities.com/property/chatsworth-townhouses/,rentmanager,rentmanager,,0,2,2,direct_or_archived_lane_exhausted_no_strict_win
48946,,https://www.wimmercommunities.com/apartments/wi/greenfield/westfield-apartments/?utm_knock=gmb,,knock,,0,0,0,residual_unconverted
72732,,http://www.centralmngt.com/Search?Community=15,,unknown,,0,2,2,residual_unconverted
42085,Revive Apartments,https://www.reviveapartments.com/,entrata,entrata,,0,30,6,residual_unconverted
54798,The Point at Abington,https://www.thepointatabington.com/,entrata,entrata,,0,8,3,residual_unconverted
46179,,https://www.hayloftapartmenthomes.com/east-hampton-estates,,wix_nopms,,0,6,5,direct_or_archived_lane_exhausted_no_strict_win
35192,Enclave on Golden Triangle,http://www.enclaveongoldentriangle.com/,entrata,entrata,https://www.enclaveongoldentriangle.com/fort-worth/enclave-on-golden-triangle/conventional/,0,21,13,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
43995,Hamilton Hall,http://www.scullycompany.com/hamilton-hall-18.html,sightmap,sightmap,,0,6,3,residual_unconverted
43908,ReNew Johnson Creek,https://www.renewjohnsoncreek.com/,entrata,entrata,https://www.renewjohnsoncreek.com/milwaukie/renew-johnson-creek/conventional/,0,12,3,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
18764,Americana Palos Verdes,https://www.americana-apts.com/,entrata,entrata,https://www.americana-apts.com/las-vegas/apv-americana/conventional/,0,0,0,hyperbrowser_exact_entrata_anchor_pending_native_unit_drill
269346,Ashford Apartment Homes,https://rjamesproperties.com/ashford-brook/,generic,unknown,,0,4,2,residual_unconverted
260505,Onyx Uptown PHX,https://broadstoneuptownphx.com/,generic,unknown,,0,274,10,residual_unconverted
263498,The Julington,https://risejulington.com/,generic,unknown,,0,27,9,residual_unconverted
27725,The Gardens of Pinecrest,https://www.gardensofpinecrestapartments.com/?rcstdid=MzI%3d-GJOvflXLv8M%3d&_yTrackUser=ODc4MjE0MDU4IzE4OTE0MjUzNDM%3d-q3%2b9PtfoQ%2bo%3d&_yTrackVisit=MTU4OTQ5NDE0MyMxODI1ODI1MTU3-j1vbMVdjJw8%3d&_yTrackReqDT=22311420200708,rentcafe,rentcafe,,1,1,1,securecafe_exact_base_direct_blocked_or_pending_hb
38107,,https://www.livefountainplaceapts.com/,,appfolio,,0,0,0,direct_or_archived_lane_exhausted_no_strict_win
42554,,http://summerwindaptsfl.com/,,unknown,,0,0,0,residual_unconverted
42571,,https://westwoodvillageapthomes.com/en/,,encoreskyline_template,,0,2,2,residual_unconverted
